Method,Objective,Beam,Budget,Split,Samples,Tri_w_rouge,Tri_w_minicheck,Tri_w_redundancy,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-Lsum,BERTScore_F1,BARTScore_ref2hyp,BARTScore_hyp2ref,BARTScore_src2hyp,NLI_Entailment,FactCC,MiniCheck,AlignScore,Runtime_sec,ResultFile
baseline_raw,"Raw Baseline (Top-1 Beam, Full Output)",4,full output,test,11490,,,,44.05,21.06,30.63,40.99,88.21,-2.3952,-3.4554,-0.3538,87.39,75.83,94.90,91.56,18867.88,bart/results/baseline_raw_baseline_raw/beam4_baseline_raw_hfrouge_shuffle_seed42_results.txt
pareto,"Summary-level Pareto",5,4 sentences,test,11490,,,,34.92,15.01,24.71,32.22,86.43,-2.2252,-3.7405,-0.6492,89.49,77.45,97.83,94.52,288399.05,bart/results/pareto_summary_pareto/beam5_pareto_hfrouge_results.txt
submodular,"MiniCheck + Redundancy",5,4 sentences,test,11490,,,,29.34,11.34,21.39,26.62,85.20,-2.0994,-3.8985,-0.7514,88.71,74.75,96.53,92.08,13709.19,bart/results/submodular_minicheck_redundancy/beam5_submodular_minicheck_redundancy_hfrouge_results.txt
dpp,"MiniCheck + Redundancy",5,4 sentences,test,11490,,,,39.23,17.75,26.66,36.40,87.25,-2.3797,-3.5724,-0.5480,89.23,75.82,96.14,92.02,20800.85,bart/results/dpp_minicheck_redundancy/beam5_dpp_minicheck_redundancy_hfrouge_results.txt
mmr,"Tri-metric (pre-update weights)",5,4 sentences,test,11490,0.000,0.300,0.700,41.84,19.43,28.00,38.97,87.75,-2.4235,-3.4952,-0.4794,89.07,76.29,95.72,92.04,27355.92,bart/results/mmr_tri_metric_wr0p00_wm0p30_wd0p70/beam5_mmr_tri_metric_hfrouge_results.txt
ilp,"Tri-metric (pre-update weights)",5,4 sentences,test,11490,0.000,0.300,0.700,40.94,19.11,27.86,38.14,87.77,-2.4107,-3.5804,-0.4970,89.05,77.09,96.51,93.25,20481.49,bart/results/ilp_tri_metric_wr0p00_wm0p30_wd0p70/beam5_ilp_tri_metric_hfrouge_results.txt
lns,"Tri-metric (pre-update weights)",5,4 sentences,test,11490,0.000,0.300,0.700,41.48,19.26,28.04,38.60,87.81,-2.4452,-3.5698,-0.4869,89.16,77.15,96.71,93.28,20858.65,bart/results/lns_tri_metric_wr0p00_wm0p30_wd0p70/beam5_lns_tri_metric_hfrouge_results.txt
mbr,"Tri-metric (post-update weights, NOT YET RUN)",5,4 sentences,test,11490,0.400,0.600,0.000,,,,,,,,,,,,,,bart/results/mbr_tri_metric_*_pending
