method,objective,beam_size,split,samples,sample_seed,budget,w_rouge,w_minicheck,w_redundancy,rouge1_f1,rouge2_f1,rougeL_f1,rougeLsum_f1,bertscore_precision,bertscore_recall,bertscore_f1,factcc,minicheck,alignscore,factkb,started_at,finished_at,runtime_total_seconds,generation_seconds,evaluation_seconds,co_total_seconds,co_mean_seconds,result_file
dpp,MiniCheck + Redundancy,8,test,11490,42,4 sentences,,,,41.52,19.02,27.11,38.69,87.65,87.66,87.64,78.46,97.25,93.71,98.88,2026-04-25T15:01:24.559008,2026-04-25T21:52:38.608928,24674.05,18166.74,6499.23,8610.89,0.749425,NLM_generatesummary/bart/results/dpp_minicheck_redundancy/beam8_dpp_minicheck_redundancy_hfrouge_shuffle_seed42_results.txt
mmr,Tri-metric unified objective (ROUGE + MiniCheck + Redundancy),8,test,11490,42,4 sentences,0.000000,0.500000,0.500000,41.64,19.08,27.08,38.75,87.58,87.75,87.65,78.15,96.58,92.98,98.69,2026-04-24T17:01:06.717930,2026-04-25T00:02:13.212235,25266.49,18733.45,6525.59,9186.20,0.799496,NLM_generatesummary/bart/results/mmr_tri_metric/beam8_mmr_tri_metric_hfrouge_shuffle_seed42_results.txt
ilp,Tri-metric unified objective (ROUGE + MiniCheck + Redundancy),8,test,11490,42,4 sentences,0.100000,0.200000,0.700000,42.31,19.34,27.32,39.33,87.71,87.82,87.75,78.26,96.83,92.93,98.67,2026-04-25T00:02:22.380622,2026-04-25T07:12:38.783236,25816.40,19501.56,6306.61,9940.22,0.865119,NLM_generatesummary/bart/results/ilp_tri_metric_softilp_per_edge_wr010_wm020_wd070/beam8_ilp_tri_metric_hfrouge_shuffle_seed42_results.txt
lns,Tri-metric unified objective (ROUGE + MiniCheck + Redundancy),8,test,11490,42,4 sentences,0.100000,0.200000,0.700000,42.34,19.35,27.31,39.36,87.72,87.81,87.75,78.28,96.82,92.92,98.63,2026-04-25T07:12:48.013507,2026-04-25T15:01:15.136833,28107.12,21839.23,6258.73,12302.53,1.070716,NLM_generatesummary/bart/results/lns_tri_metric_softlns_per_edge_wr010_wm020_wd070/beam8_lns_tri_metric_hfrouge_shuffle_seed42_results.txt
