selection,methods_supported,w_rouge,w_minicheck,w_redundancy,effective_w_rouge,effective_w_minicheck,effective_w_redundancy,coverage_definition,faithfulness_definition,redundancy_definition,avg_rouge1,avg_rouge2,avg_rougeL,avg_minicheck,avg_factcc,selection_note
recommended_shared_all_three,mmr+ilp+dpp,0.50,1.00,0.50,0.2500,0.5000,0.2500,selector-side coverage weight via ROUGE utility,MiniCheck/Faithfulness utility weight,selector-side redundancy penalty/diversity weight,39.66,18.06,27.22,95.21,77.31,best available shared nonzero tri-metric weight tested by all three existing sweeps
backup_shared_mmr_ilp_only,mmr+ilp,0.50,1.00,1.00,0.2000,0.4000,0.4000,selector-side coverage weight via ROUGE utility,MiniCheck/Faithfulness utility weight,selector-side redundancy penalty/diversity weight,42.12,19.94,28.62,94.99,77.69,stronger redundancy and better MMR/ILP validation balance but DPP light sweep did not test this row
method_specific_mmr,mmr,0.50,1.00,0.50,0.2500,0.5000,0.2500,selector-side coverage weight via ROUGE utility,MiniCheck/Faithfulness utility weight,MMR lambda=1-w_redundancy=0.7500,42.09,19.95,28.85,96.01,78.17,best all-three-nonzero MMR row under balanced validation ranking
method_specific_ilp,ilp,1.00,0.50,1.00,0.4000,0.2000,0.4000,selector-side coverage weight via ROUGE utility,MiniCheck/Faithfulness utility weight,soft ILP redundancy penalty weight,42.05,19.93,28.42,94.41,78.88,best all-three-nonzero ILP row under balanced validation ranking
method_specific_dpp,dpp,0.50,1.00,0.50,0.2500,0.5000,0.2500,selector-side coverage weight via ROUGE utility,MiniCheck/Faithfulness utility weight,DPP off-diagonal similarity scaling,35.49,15.15,24.67,94.76,77.13,best all-three-nonzero DPP light row among existing DPP sweep rows
