Method,Objective,Weights(w_r/w_m/w_d),Beam,Budget,Samples,Split,SampleMode,Seed,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-Lsum,BERTScore_F1,FactCC,MiniCheck,AlignScore,FactKB,Runtime_sec,ResultFile,Notes
baseline_raw,"Raw Baseline (Top-1 Beam, Full Output)",-,4,full output,11490,test,shuffle,42,44.05,21.07,30.62,40.99,88.21,75.83,94.90,91.56,98.49,16447.76,baseline_raw_baseline_raw/beam4_baseline_raw_hfrouge_shuffle_seed42_results.txt,Top-1 beam (beam=4) without selection; reference upper bound on ROUGE.
baseline_raw,"Raw Baseline (Top-1 Beam, Full Output)",-,10,full output,11490,test,shuffle,42,43.48,20.54,30.05,40.30,88.06,80.31,95.56,93.11,98.92,29788.44,baseline_raw_baseline_raw/beam10_baseline_raw_hfrouge_shuffle_seed42_results.txt,Top-1 beam (beam=10) without selection; matches candidate pool beam used by mmr/dpp/ilp/lns.
mmr,Tri-metric (ROUGE + MiniCheck + Redundancy),0.00/0.50/0.50,10,4 sentences,11490,test,shuffle,42,41.53,18.90,26.67,38.61,87.60,78.61,96.74,93.27,98.83,40926.83,mmr_tri_metric/beam10_mmr_tri_metric_hfrouge_shuffle_seed42_results.txt,Effective 2-term (w_r=0): MiniCheck + Redundancy.
dpp,MiniCheck + Redundancy (2-term; no ROUGE),-/0.50/0.50,10,4 sentences,11490,test,shuffle,42,41.46,18.90,26.71,38.60,87.61,79.06,97.36,94.01,99.01,40146.02,dpp_minicheck_redundancy/beam10_dpp_minicheck_redundancy_hfrouge_shuffle_seed42_results.txt,"NEW DPP variant: quality q=MiniCheck, similarity scaled by redundancy weight only. Different from prior DPP in tri_metric_grid_runs_dpp_light_validation_n50 which used the 3-term ROUGE+MiniCheck+Redundancy objective (validation n=50 only)."
ilp,Tri-metric (ROUGE + MiniCheck + Redundancy),0.25/0.25/0.50,10,4 sentences,11490,test,shuffle,42,39.75,18.23,25.96,36.80,87.36,79.36,97.03,93.71,99.08,40637.60,ilp_tri_metric/beam10_ilp_tri_metric_hfrouge_shuffle_seed42_results.txt,Hard-constraint MILP; tri-metric weights 0.25/0.25/0.50.
lns,Tri-metric (ROUGE + MiniCheck + Redundancy),0.25/0.25/0.50,10,4 sentences,11490,test,shuffle,42,40.56,18.60,26.32,37.54,87.50,79.36,97.03,93.65,98.96,41028.75,lns_tri_metric/beam10_lns_tri_metric_hfrouge_shuffle_seed42_results.txt,Hard-constraint LNS; tri-metric weights 0.25/0.25/0.50.
