dataset,generator,method,model,samples,sample_mode,sample_seed,candidate_count,beam_size,budget,tri_metric_weights,rouge1,rouge2,rougeL,rougeLsum,bertscore_f1,bertscore_status,factcc,factcc_status,minicheck,minicheck_status,alignscore,alignscore_status,factkb,factkb_status,factgraph_status,ordering,stage1_reuse_source,source_type,budget_table_status,source_result
cnn_dailymail,bart,baseline,facebook/bart-large-cnn,11490,shuffle,42,4,4,full output,,44.05,21.07,30.62,40.99,88.21,,75.83,,94.90,,91.56,,98.49,,unavailable (FileNotFoundError('FACTGRAPH repo dir not configured. Set $FACTGRAPH_REPO_DIR or pass repo_dir explicitly. Clone https://github.com/amazon-science/fact-graph first.')),,,result_txt,reported local row in zeyu.tex main table,cnn_dailymail/bart/baseline/baseline_raw_baseline_raw/beam4_baseline_raw_hfrouge_shuffle_seed42_results.txt
cnn_dailymail,bart,dpp,facebook/bart-large-cnn,11490,shuffle,42,5,5,4 sentences,,41.67,19.36,27.96,38.85,87.72,,76.92,,96.93,,93.14,,98.83,,unavailable (FileNotFoundError('FACTGRAPH repo dir not configured. Set $FACTGRAPH_REPO_DIR or pass repo_dir explicitly. Clone https://github.com/amazon-science/fact-graph first.')),,,result_txt,reported local row in zeyu.tex main table,cnn_dailymail/bart/dpp/dpp_minicheck_redundancy/beam5_dpp_minicheck_redundancy_hfrouge_shuffle_seed42_results.txt
cnn_dailymail,bart,ilp,facebook/bart-large-cnn,11490,shuffle,42,5,5,4 sentences,"rouge=0.100000, minicheck=0.200000, redundancy=0.700000",42.84,19.91,28.46,39.87,87.91,,76.71,,96.76,,92.56,,98.65,,unavailable (FileNotFoundError('FACTGRAPH repo dir not configured. Set $FACTGRAPH_REPO_DIR or pass repo_dir explicitly. Clone https://github.com/amazon-science/fact-graph first.')),,,result_txt,reported local row in zeyu.tex main table,cnn_dailymail/bart/ilp/ilp_tri_metric_softilp_per_edge_wr010_wm020_wd070/beam5_ilp_tri_metric_hfrouge_shuffle_seed42_results.txt
cnn_dailymail,bart,mmr,facebook/bart-large-cnn,11490,shuffle,42,5,5,4 sentences,"rouge=0.000000, minicheck=0.500000, redundancy=0.500000",41.85,19.44,28.03,38.99,87.75,,76.55,,96.22,,92.42,,98.67,,unavailable (FileNotFoundError('FACTGRAPH repo dir not configured. Set $FACTGRAPH_REPO_DIR or pass repo_dir explicitly. Clone https://github.com/amazon-science/fact-graph first.')),,,result_txt,reported local row in zeyu.tex main table,cnn_dailymail/bart/mmr/mmr_tri_metric/beam5_mmr_tri_metric_hfrouge_shuffle_seed42_results.txt
cnn_dailymail,gemma_4_e4b,baseline,google/gemma-4-E4B-it,11490,shuffle,42,,,direct full output,,30.51,6.41,18.07,27.40,86.19,,53.99,,69.49,,71.32,,89.59,,unavailable (FileNotFoundError('FACTGRAPH repo dir not configured. Set $FACTGRAPH_REPO_DIR or pass repo_dir explicitly. Clone https://github.com/amazon-science/fact-graph first.')),none (baseline direct generation),,result_txt,reported local row in zeyu.tex main table,cnn_dailymail/gemma4_e4b/baseline/full_cnn_hf_fulleval_max32k_20260504_133317/baseline_hfrouge_shuffle_seed42_results.txt
cnn_dailymail,llama3_8b,baseline,meta-llama/Llama-3.1-8B-Instruct,11490,shuffle,42,,,direct full output,,38.98,14.82,24.20,35.28,87.72,,46.78,,76.00,,75.08,,98.51,,unavailable (FileNotFoundError('FACTGRAPH repo dir not configured. Set $FACTGRAPH_REPO_DIR or pass repo_dir explicitly. Clone https://github.com/amazon-science/fact-graph first.')),none (baseline direct generation),,result_txt,reported local row in zeyu.tex main table,cnn_dailymail/llama3_8b/baseline/full_cnn_hf_fulleval_max32k_20260504_021611/baseline_hfrouge_shuffle_seed42_results.txt
cnn_dailymail,qwen3.5_9B,baseline,Qwen/Qwen3.5-9B,11490,shuffle,42,,,direct full output,,34.88,10.91,20.33,30.77,86.96,,40.16,,56.82,,65.17,,98.12,,unavailable (FileNotFoundError('FACTGRAPH repo dir not configured. Set $FACTGRAPH_REPO_DIR or pass repo_dir explicitly. Clone https://github.com/amazon-science/fact-graph first.')),none (baseline direct generation),,result_txt,reported local row in zeyu.tex main table,cnn_dailymail/qwen3_5_9b/baseline/full_cnn_hf_fulleval_20260502_114205/baseline_hfrouge_shuffle_seed42_results.txt
